SampleID,exp_nr,Cultivar,rep,Soil_type,Functinoal_group,Select_FT,shoot_length_cm,root_length_cm,shoot_dry_weight_g,root_dry_weight_g,leaf_metabolite_richness,leaf_metabolite_evenness,leaf_metabolite_composition_axis1,root_exudate_richness_median,root_exudate_shannon_median,root_exudate_evenness_median,root_exudate_composition_axis1_medain,Bac_richness,Bac_shannon,Bac_simpson,Phylogenetic_diversity,Bac_evenness,Bac_axis1,Bac_axis2,Fun_richness,Fun_shannon,Fun_simpson,Fun_evenness,Fun_axis1,Fun_axis2
S119_16S,119,Tewadi,3,rhizo,a,no,14,37,0.475,0.066134214,83,0.924637253,0.008298509,22,2.501891743,0.809400641,-0.16870474,981,6.27119727,0.995910938,78.50751127,0.910376904,0.06003923,-0.016556928,429,3.944953048,0.893777646,0.650825882,-0.293028571,-0.066118405
S12_16S,12,Inwestor,1,rhizo,b,no,16,23,0.825,0.169188793,83,0.934364177,-0.204722476,35,3.240226382,0.911366855,0.364852398,1061,6.292644763,0.996375453,78.44711724,0.903211489,-0.008108749,-0.011616739,395,3.941841133,0.919350326,0.659293602,-0.008960419,-0.016078759
S120_16S,120,Atol,3,rhizo,c,c,16,37,0.564,0.094095968,80,0.920466137,-0.041556136,26,2.882380574,0.884682372,0.107660355,854,6.038753488,0.995472791,70.53048855,0.894639266,0.130255989,-0.116360976,374,4.064958846,0.923438475,0.686155187,-0.31653404,0.02703738
S121_16S,121,Szyper,3,rhizo,a,no,16,32,0.673,0.133176101,83,0.929512391,-0.049467297,27,2.713458773,0.823298872,0.020229108,1602,6.6371684,0.996707436,100.3791572,0.8994662,-0.107706781,0.019298454,411,4.433283267,0.972740689,0.736597924,0.083885184,0.014958333
S122_16S,122,Amex,3,rhizo,b,no,19,28,0.537,0.059322861,83,0.914430888,0.031471452,34,3.197849832,0.906841433,0.181265495,1079,6.26761036,0.996326196,82.66544345,0.897451154,0.113940063,-0.02296798,388,4.479935504,0.977090859,0.75154026,0.042610069,0.158017452
S123_16S,123,Astrid,3,rhizo,b,no,17,30,0.777,0.108971887,82,0.912131232,-0.233877897,22,2.768737718,0.895729437,0.084940835,961,6.206509195,0.995662182,74.06887589,0.903688457,-0.002207461,-0.193326854,400,4.228798463,0.956971697,0.705803803,-0.143091541,-0.021874849
S124_16S,124,Wyszoborski,3,rhizo,a,no,15,34,0.488,0.092435449,81,0.917623689,-0.046515123,21,2.52502738,0.829367309,-0.201888972,866,6.066493424,0.996799585,71.62169801,0.896894833,0.020282202,-0.111697298,367,3.877683899,0.925448394,0.656637815,0.005694781,0.151493845
S125_16S,125,Jelly,3,rhizo,d,d,18,43,0.686,0.112896791,84,0.944036332,-0.045646304,22,2.623614948,0.848779979,-0.1525734,1079,6.258079278,0.993268875,77.56978229,0.89608641,-0.115418075,-0.041751695,426,4.558378181,0.975579923,0.75289848,0.055176554,0.011684688
S126_16S,126,Inwestor,3,rhizo,b,no,23,46,0.405,0.108439874,83,0.936921058,-0.133561171,35,3.240226382,0.911366855,0.364852398,1243,6.365927522,0.997190037,86.95302631,0.893428014,-0.056459897,-0.11727231,396,4.147231459,0.950718818,0.693352995,0.06102419,0.092619671
S127_16S,127,Syrena,3,rhizo,b,no,13,30,0.273,0.092594214,84,0.944618704,-0.129024305,33,3.197353114,0.914441927,0.217139976,1257,6.499164762,0.996581337,90.4634098,0.910695727,0.017570554,0.060494275,409,4.315806093,0.964422975,0.717660544,0.040573099,0.07175273
S128_16S,128,Moni,3,rhizo,b,no,17,22,0.347,0.062037607,83,0.926579969,-0.003732969,28,2.822317811,0.846982171,0.157624357,1081,6.269771074,0.995413889,79.78147044,0.897522552,-0.081000832,-0.023929362,449,4.343540083,0.959202415,0.711236909,0.018788642,-0.100936434
S129_16S,129,Wiebke,3,rhizo,b,no,13,30,0.511,0.071758722,83,0.916693294,0.009469893,33,3.200219329,0.915261664,0.151426873,1101,6.326217143,0.994628144,82.87995103,0.903232511,-0.023975252,0.02957095,419,4.510162262,0.968308269,0.746978914,0.096341496,-0.026189659
S13_16S,13,Erdkraft,1,rhizo,c,no,15,30,0.346,0.080567308,83,0.897825089,0.183045759,23,2.635278699,0.840466771,0.05692329,995,6.28161825,0.995712027,74.3825208,0.910017726,0.105604342,-0.02524575,455,4.713151955,0.981047083,0.770085444,0.061959425,0.06378397
S130_16S,130,Cosima,3,rhizo,a,no,20,29,0.705,0.086357825,83,0.940712593,-0.310616296,22,2.513434397,0.813134868,-0.200196021,1194,6.365239334,0.995938059,85.09702364,0.89840248,-0.076439005,0.0087314,402,4.331765404,0.963687179,0.722388062,0.110678249,-0.053567091
S131_16S,131,Anielka,3,rhizo,d,no,18,26,0.288,0.072767465,80,0.890636723,0.096795286,21,2.623102982,0.861581097,-0.151472247,1011,6.327150194,0.994876495,79.49727117,0.914500494,0.014092413,0.079635244,441,4.686221133,0.98034307,0.769615141,0.075706832,-0.000951571
S132_16S,132,Baltyk,3,rhizo,d,no,17,22,0.416,0.0705626,82,0.910443268,0.069855017,15,2.188193256,0.808032752,-0.264465215,1186,6.417015147,0.995237461,86.15774797,0.906570427,-0.036900905,0.064242231,429,4.555251505,0.975731175,0.751510993,0.09874107,-0.025457911
S133_16S,133,Erdkraft,3,rhizo,c,no,13,25,0.354,0.025642685,83,0.931619698,0.069984781,23,2.635278699,0.840466771,0.05692329,990,6.24951303,0.996659298,75.35277957,0.906027886,-0.064111564,-0.019022345,384,4.058138908,0.941020165,0.681966506,0.024430919,0.206340816
S134_16S,134,Pasja Pomorska,3,rhizo,a,a,15,24,0.393,0.086870227,83,0.9348349,-0.117663653,22,2.483076099,0.803313489,-0.124879351,1233,6.490747374,0.996548235,86.45467701,0.911979761,-0.019905885,0.130755059,429,4.4782201,0.968961617,0.738802595,0.1254797,-0.089728133
S135_16S,135,Cobra,3,rhizo,a,no,16,26,0.505,0.133108525,84,0.918863763,0.02445894,14,2.118172457,0.802624647,-0.34817572,1295,6.415371162,0.996945862,88.7175367,0.895218121,-0.166442557,0.077077239,457,4.542925958,0.969359914,0.741740539,-0.044794815,-0.131319873
S136_16S,136,Aula,3,rhizo,c,no,16,17,0.268,0.08231985,78,0.887916098,0.127981582,28,2.852326808,0.85598792,0.027141062,1234,6.52145608,0.995746238,89.74691857,0.916190114,0.03444744,0.087542213,431,4.505846373,0.970967879,0.742790321,-0.046156445,-0.096161884
S137_16S,137,Atlantic,3,rhizo,b,no,14,30,0.817,0.112157871,82,0.941311797,-0.054027221,35,3.132821677,0.881157519,0.271599104,1252,6.443820093,0.996705556,87.36975269,0.903445118,0.066667445,0.092329174,454,4.423211563,0.960566449,0.72297177,0.093332106,-0.091911054
S138_16S,138,Brda Stara,3,rhizo,d,d,31,17,0.058,0.04244997,79,0.909664936,-0.06926194,22,2.418482961,0.782416611,-0.178067436,1006,6.202154501,0.997283661,76.72372952,0.897076962,-0.015807615,0.043332589,427,4.264923407,0.944857118,0.70415643,0.129069607,-0.100462396
S139_16S,139,Belladonna,3,rhizo,c,no,18,29.5,0.31,0.100060186,81,0.914501265,0.02139127,26,2.831443849,0.869048481,-0.01047521,1062,6.234459515,0.996257533,77.2095042,0.894738914,-0.088388841,0.068374034,444,4.507635353,0.968851836,0.739462776,0.117046337,-0.095946668
S14_16S,14,Szyper,1,rhizo,a,no,11.5,30,0.468,0.106153305,83,0.916430256,0.038132599,27,2.713458773,0.823298872,0.020229108,1046,6.312217691,0.993586352,77.88335846,0.907876319,-0.084903515,-0.00242153,355,4.110528355,0.962285629,0.700007817,0.009401396,0.186435323
S140_16S,140,Bihoro,3,rhizo,a,a,12.5,32.5,0.421,0.079653123,82,0.929906623,-0.008007964,20,2.640927385,0.881563219,0.007800925,962,6.224893578,0.997317014,73.24129959,0.906228051,0.093133134,0.01793028,402,4.134616773,0.937665835,0.689510516,-0.199232828,-0.057715998
S141_16S,141,Cajka,3,rhizo,c,no,18,21,0.251,0.077350549,80,0.914637548,0.074586583,34,3.057308043,0.866986805,0.256994977,750,5.990988017,0.996415095,64.24106575,0.904973077,0.110032014,-0.150531658,411,4.17997829,0.935172305,0.69451085,-0.225338301,-0.034836406
S142_16S,142,Carnea,3,rhizo,a,no,14,36,0.47,0.079543604,82,0.933332808,0.010674545,23,2.671625479,0.852058813,-0.10352143,788,5.993401618,0.996847926,67.83797043,0.898628583,0.164995129,-0.046489699,409,4.459101092,0.971719294,0.741488577,0.044412879,0.041514835
S143_16S,143,Donella,3,rhizo,b,no,18,31,0.2,0.075746154,83,0.927601933,0.076496598,33,3.045743976,0.871081765,0.22144774,1235,6.47271089,0.996867004,87.45091722,0.909238498,0.04076369,0.094771381,437,4.449620142,0.965268107,0.731853459,-0.090003959,-0.097091544
S144_16S,144,Ceres,3,rhizo,c,no,20,36,0.503,0.078204082,80,0.920586851,-0.003489793,26,2.784597944,0.854670177,-0.08475037,1014,6.292892596,0.994563011,74.71738758,0.909159688,0.126163019,0.050906643,405,4.395864604,0.965432408,0.732169768,0.077423429,-0.011769514
S145_16S,145,Desiree,3,rhizo,a,a,16,29,0.394,0.217966931,84,0.939354098,-0.023522039,22,2.473531697,0.800225728,-0.18218285,1347,6.520322426,0.993490963,85.7655978,0.904892111,0.058441514,0.131361743,436,4.583211579,0.976867195,0.754110129,0.059565905,-0.093623647
S146_16S,146,Herbstfreude,3,rhizo,c,no,17,23,0.294,0.039736004,79,0.909811335,-0.049322558,27,2.847585011,0.863994526,0.18367484,1217,6.340032532,0.995515828,85.01490906,0.892441433,0.060345674,0.081596707,410,3.970839276,0.917905772,0.66002918,0.112762417,-0.092382418
S147_16S,147,Salto,3,rhizo,b,b,18,27,0.561,0.117810025,82,0.904500312,0.105701551,32,3.045218901,0.878664441,0.283751629,1335,6.567727664,0.995280826,90.97687072,0.912604377,0.000162729,0.057674438,449,4.526634672,0.971584848,0.741217899,0.002434548,-0.102701075
S148_16S,148,Czapla,3,rhizo,d,no,18,28,0.556,0.098523552,79,0.91142152,0.115438313,15,2.125112081,0.784738806,-0.178681398,1598,6.710766596,0.995818036,96.37703087,0.909748418,0.05295161,0.116841248,439,4.537997681,0.97138743,0.745829258,0.108271602,-0.082347285
S149_16S,149,Bodenkraft,3,rhizo,d,no,16,21,0.338,0.109355086,80,0.913300177,0.043160388,16,2.159055056,0.778714505,-0.300957759,1332,6.530770951,0.990657359,88.40294781,0.907752905,0.007045794,0.063762121,425,4.409015571,0.965018146,0.728511337,0.10073265,-0.109714882
S15_16S,15,Carnea,1,rhizo,a,no,15.5,35,0.476,0.05063872,82,0.928452666,0.04214235,23,2.671625479,0.852058813,-0.10352143,1032,6.219579815,0.996499875,75.47022952,0.896289409,-0.079659219,-0.062011575,411,4.402354659,0.969870414,0.731459081,-0.039545013,0.000244094
S150_16S,150,Krab,3,rhizo,b,b,16,20,0.326,0.074184682,83,0.934505712,-0.008606977,46,3.595127969,0.939008802,0.437707303,1414,6.602412467,0.995831395,92.5789577,0.910153102,0.05892601,0.141142303,434,4.471326411,0.972941419,0.7362578,0.109358461,-0.046055416
S151_16S,151,Apta,3,rhizo,d,no,13.5,27,0.202,0.125641612,82,0.929531731,-0.092140215,13,2.081751296,0.81161497,-0.065780417,1291,6.463619086,0.994610407,92.22876115,0.902340295,0.045801138,0.141910158,409,4.456561443,0.972348324,0.741066267,0.112458157,-0.042639001
S152_16S,152,Kmiec,3,rhizo,b,no,19,29,0.523,0.16032257,83,0.935668391,-0.026566991,28,2.881754651,0.864819264,0.01517078,1347,6.546353154,0.997041946,91.67127302,0.908504663,0.024586393,0.095896478,441,4.55142521,0.971090709,0.747477692,0.117073698,-0.08562153
S153_16S,153,Ballade,3,rhizo,c,no,20,33,0.35,0.064503098,74,0.906263404,0.132011647,31,3.158433102,0.919756806,0.180780622,1274,6.532475096,0.996001553,87.83142252,0.913643507,-0.036227799,0.075009655,430,4.602271945,0.977187591,0.758976743,0.10584013,-0.047839783
S16_16S,16,Czapla,1,rhizo,d,no,16,33,0.436,0.074168421,79,0.898785703,0.120311675,15,2.125112081,0.784738806,-0.178681398,848,6.10884436,0.995778511,67.4080381,0.905969524,0.000941097,-0.133238679,403,4.586948522,0.979101224,0.764626943,0.045139574,0.113631345
S17_16S,17,Tewadi,1,rhizo,a,no,10,30,0.624,0.14777753,83,0.905702629,0.033832843,22,2.501891743,0.809400641,-0.16870474,1324,6.409281871,0.995300926,87.40898903,0.891612948,-0.07724708,-0.010555799,457,4.645551577,0.976409485,0.758496608,-0.038452637,-0.055064042
S18_16S,18,Amex,1,rhizo,b,no,21,34,0.641,0.087452441,83,0.908347007,-0.053124895,34,3.197849832,0.906841433,0.181265495,1041,6.263398695,0.995923216,76.15433975,0.901476026,0.037164196,0.007242032,438,4.621680461,0.978634172,0.759867497,0.059373072,0.070677082
S19_16S,19,Wyszoborski,1,rhizo,a,no,15,27,0.544,0.120340725,81,0.935365974,-0.086809442,21,2.52502738,0.829367309,-0.201888972,1191,6.378135736,0.996122473,87.47698865,0.900542463,-0.018161345,0.013854254,442,4.629854013,0.976564493,0.760075272,0.104089621,-0.042958448
S2_16S,2,Bodenkraft,1,rhizo,d,no,12,31,0.193,0.114526316,80,0.932338507,-0.071385472,16,2.159055056,0.778714505,-0.300957759,1042,6.258904871,0.996210204,76.44859665,0.90070477,0.08010032,-0.017490076,402,4.584318765,0.979526162,0.764505194,0.062644095,0.074223396
S20_16S,20,Sagitta,1,rhizo,d,no,9,27,0.27,0.059632935,83,0.902810515,-0.046517267,24,2.604259684,0.819451093,-0.045081286,783,5.860503522,0.996142978,68.20446425,0.87954177,-0.084424859,-0.071846674,418,4.527455276,0.97577833,0.750139873,0.100000817,-0.014200263
